"issueKey","rule","severity","type","status","component","line","message","effort","tags","createdAt","updatedAt"
"AZxIbfwioCkCvYfP7rEi","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","147","Method has 12 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T16:41:03+0000","2026-02-10T16:41:03+0000"
"AZxIbfwioCkCvYfP7rEj","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","226","Method has 9 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T16:41:03+0000","2026-02-10T16:41:03+0000"
"AZxIbfwioCkCvYfP7rEk","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","791","Method has 16 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T16:41:03+0000","2026-02-10T16:41:03+0000"
"AZxIbfwioCkCvYfP7rEl","csharpsquid:S2325","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1774","Make 'ResolveFromCharacter' a static method.","5min","pitfall","2026-02-10T16:41:03+0000","2026-02-10T16:41:03+0000"
"AZxIbfwioCkCvYfP7rEm","csharpsquid:S6580","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1818","Use a format provider when parsing date and time.","10min","pitfall","2026-02-10T16:41:03+0000","2026-02-10T16:41:03+0000"
"AZxIbfwioCkCvYfP7rEn","external_roslyn:CA1822","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1774","Member 'ResolveFromCharacter' does not access instance data and can be marked as static","0min","","2026-02-10T16:39:19+0000","2026-02-10T16:41:03+0000"
"AZxGGBRb1a6jXngCKKSq","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","487","Method has 8 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSr","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","523","Method has 10 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBTc1a6jXngCKKTc","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1995","Remove the unused private method 'SelectEmailsForAttachments'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBTc1a6jXngCKKTd","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","2252","Remove the unused private method 'GenerateAttachmentAsync'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBTc1a6jXngCKKTe","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","2606","Remove the unused private method 'GenerateImageForEmailAsync'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBTc1a6jXngCKKTf","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","2825","Remove the unused private method 'GenerateVoicemailForEmailAsync'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBTc1a6jXngCKKTg","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","2972","Remove the unused private class 'ExcelDocResponse'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBRK1a6jXngCKKSm","csharpsquid:S2325","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmlFileService.cs","12","Make 'SaveEmailAsEmlAsync' a static method.","5min","pitfall","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBQY1a6jXngCKKSd","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/OrganizationGenerator.cs","197","Method has 11 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
